質問,回答,キーワード,ウェブサイト掲載,備考
移住の際に仕事は斡旋して頂けますか？,移住者のご希望と斡旋可能な業務が合えばご紹介致します。,仕事,,
子供の教育に良い地区はどこですか？,小学校・中学校の場合、道後地区が人気が高いです。,小学校 中学校,,要出典
住民票は移さないとだめですか？,必須ではありません。しかし、松山市の行政サービスを受けられる場合は、住民票は移した方が便利です。,行政,,
戸籍は移さないとだめですか？,必須ではありません。しかしパスポートを取得する際など行政のサービスを受ける場合に制限が入ったり手続きが煩雑になる場合があります。,行政,,
物価は現在住んでいる所とどのくらい差が有りますか？,大都市（東京・大阪・名古屋・福岡）以外の都市とは殆ど変わりません。,物価 生活,,
年収はどのくらいで生活出来ますか？,生活スタイルによりますが、360万円～400万円で充分な生活が可能です。,物価 生活,,
松山市ならではの風習は有りますか？,"夏から秋にかけてのお祭りが多数あります。6月〜7月にかけて中央商店街で毎週土曜夜市が開催されます。多くの出店があり賑わいます。
10月に地方祭が有り、各町内会で神輿が出ます。子供神輿が有る地区も有ります。",文化,,
治安はどうですか？立ち入ってはならない地区は有りますか？,治安は良いと思われます。大きな事件は殆ど無いです。しかし一部評判の良くない地区はあるようです。,環境,,
大規模な天災は起こっていますか？台風などの風水害は多いですか？,15年前に震度5弱の地震は有りましたが、それ以降は大きな地震はございません。台風被害も殆ど無いです。,環境 気候,,
気候はどうですか？,年間を通じて穏やかな気候です。台風も強い風雨という程度で済む場合が多く、山岳地帯などを除き、ほとんどの地域では冬も殆ど雪は降りません。,環境 気候,,
松山市は水不足の問題があると聞きますが本当ですか？,以前はそのような問題がありましたが、ここ15年は水不足は発生していません。そのような経緯があるため、市民の節水意識も高いです。,環境,,
人口はどのくらいですか？,平成27年度時点で松山市で51万人です。周辺の市町村を合わせると約70万人になります。,環境,,
市内や近郊地域への移動で使える公共交通機関は何が有りますか？,"伊予鉄道（私鉄）の郊外電車、市内電車、バス ＪＲ四国の電車とバスになります。
近隣の離島への移動に関しては各種フェリーが出ている場合があります。",環境,,
市外、県外、四国外など中長期距離への移動で使える公共交通機関は何がありますか？,伊予鉄バスやJR四国バスをはじめとした高速バス、ANAやJALまたはJetstarやPeachといったLCC航空会社、各種フェリーを利用することができます。,"環境 移動手段
",,
車を持ってなくとも生活は可能ですか？,移動範囲によりますが電車など公共交通機関や自転車などで問題なく生活をしている方も多数いらっしゃいます。,"環境 移動手段
",,
待機児童について教えてください,松山市では平成26年度より待機児童は0になっております（平成27年度時点）,環境 未就園,,
繁華街や歓楽街は存在しますか？,"松山で最も大きな商店街は大きなくくりでは松山中央商店街と呼ばれ、地元では大街道、銀天街と呼ばれています。その周辺にはロープウェイ街、まつちかタウンという商店街があり、それぞれに特色があります。また、周囲に八坂通りと呼ばれる歓楽街の地域があります。
その他にも道後商店街など、いくつかの商店街が多数存在します。","環境 生活
",,
少人数制の小中学校は存在しますか？,松山市内ですと日浦小中学校、興居島小中学校、五明小学校が少人数制の小中学校になります。,小学校 中学校,,
釣りが趣味なのですが松山市ではどこかいい場所はありますか？,"海釣りの場合は三津浜港近辺、北条地区がスポットとして有名ですが、主に南予方面など市外にでて楽しまれる方も多いです。
川釣り、渓流釣りは海釣りと比較してあまりメジャーではありませんが楽しむことはできます。ただし鑑札と呼ばれる許可証をあらかじめ入手しておく必要がある場合があります。",趣味,,
スキーやスノーボードなど冬のスポーツは楽しめますか？,石鎚山をはじめ自然の雪が楽しめる場所があります。また冬はアイススケートリンクでスケートも楽しめます。,趣味 スポーツ,,
ジョギングやランニングは楽しめますか？,松山市全体でジョギングやランニングを楽しんでいる方は大勢いらっしゃいます。また愛媛マラソンをはじめとした多数のマラソン大会が開催されており、レベルに合わせた参加ができる状況です。,趣味 スポーツ,,
自宅のインターネット環境は不自由しませんか？,NTT西日本によるフレッツ光をはじめとしたインターネット環境、ケーブルテレビとしては愛媛CATVが広くインターネット環境の提供を行っております。,環境 インターネット,,
携帯電話のインターネット環境は不自由しませんか？,"ドコモ、ソフトバンク、KDDI（au）をはじめとした全国的な携帯電話によるインターネットアクセスが可能で、速度的には東京より快適な場合があるようです。
しかし市街地と比べ、山岳地帯などは若干圏外になる地域もあります。エリア的には広く見るとドコモが最も広いエリアをカバーしています。",環境 携帯電話 インターネット,,"ドコモデータ（東京）
http://bit.ly/1PdIEH4

ドコモデータ（愛媛）
http://bit.ly/1ZIAjQC"
携帯電話の通話で不自由しませんか？,ほとんどの地域で問題なく利用できますが山岳地帯などは若干圏外になる地域もあります。エリア的には広く見るとドコモが最も広いエリアをカバーしています。,環境 携帯電話,,
大きめの病院はありますか？,"愛媛大学附属病院、愛媛県立中央病院など大規模な病院があります。
",病院,,
自然分娩をしたいのですが助産院はありますか？,数は多くないですが松山市内にいくつかの助産院が存在します。,"出産 生活 病院
",,
共有オフィスやコワーキングスペースはありますか？,数は多くないですがいくつかの共有オフィスやコワーキングスペースがあります。,仕事 環境 インターネット,,
三菱東京UFJ銀行や三井住友銀行など大手銀行は使えますか？,"入出金に関してはコンビニエンスストアなどでできます。松山市内ではみずほ銀行、三井住友銀行は窓口が存在しますが、三菱東京UFJ銀行は存在しません。
ほとんどの松山市民は伊予銀行か愛媛銀行をメインバンクにしています。一部に新生銀行などネット銀行を利用している方もいらっしゃいます。",生活 環境,,
電車は何時くらいまで走っていますか？飲みに行って帰りの電車がなくなった場合の移動はどうしていますか？,"電車はおおむね22時頃には終わってしまいます。飲酒していない場合は自家用車や自転車、徒歩で帰る方もいらっしゃいます。
長距離の場合はタクシー、飲酒で自家用車に乗れない場合は代行業者（代わりに運転してくれるサービス）を利用する場合があります。","生活 環境 移動手段
",,
ショッピングモールや大手スーパーはありますか？,ショッピングモールはイオン松山店があります。大手スーパーとしてフジ、サニーマート、セブンスターなどが存在します。,生活,,
道後温泉以外の温泉施設はありますか？,道後温泉にも複数の温泉施設が、それ以外にも松山市内には多数の温泉施設があります。,生活,,
洋書の購入は可能ですか？,ジュンク堂書店にて購入が可能です。その他にも洋書専門店があります。,生活 環境,,
ゲストハウスやドミトリーのような宿泊施設はありますか？,道後地区を中心に何か所かゲストハウスやドミトリーが存在します。,生活 宿泊,,
CDやDVDのレンタルができる場所はありますか？,大手のレンタル店としてTSUTAYAとGEOが存在します。その他にも個人経営のようなレンタル店も存在します。,生活 環境,,
図書館はありますか？,愛媛県立図書館、松山市立図書館をはじめ、いくつかの図書館があります。,趣味 生活 環境,,
公立大学はありますか？,愛媛大学、松山大学があります。,学校 環境,,
公立大学の付属小学校はありますか？,愛媛大学教育学部附属小学校があります。,学校 環境,,
松山市は地図で見ると非常に大きく、海や山があるのにコンパクトシティっておかしくないですか？,松山市をコンパクトシティと表現する場合、主に市街地周辺を指す場合が多いです。,環境,,
